Time (s),Abs
0.0,0.0012
0.1,0.00085
0.2,0.0008
0.3,0.0013
0.4,0.0015
0.5,0.0016
0.6,0.0012
0.7,0.0016
0.8,0.00195
0.9,0.0018
1.0,0.0018
1.1,0.0018
1.2,0.00195
1.3,0.0019
1.4,0.0018
1.5,0.002
1.6,0.0019
1.7,0.0022
1.8,0.0025
1.9,0.0024
2.0,0.00245
2.1,0.0023
2.2,0.00235
2.3,0.00275
2.4,0.0025
2.5,0.0023
2.6,0.00255
2.7,0.0028
2.8,0.00315
2.9,0.00295
3.0,0.0035
3.1,0.0031
3.2,0.003
3.3,0.0031
3.4,0.00315
3.5,0.00325
3.6,0.00335
3.7,0.0038
3.8,0.0033
3.9,0.0036
4.0,0.0036
4.1,0.00365
4.2,0.00375
4.3,0.0039
4.4,0.00365
4.5,0.00415
4.6,0.00395
4.7,0.004
4.8,0.0043
4.9,0.0041
5.0,0.0044
5.1,0.0041
5.2,0.0045
5.3,0.0044
5.4,0.0047
5.5,0.00455
5.6,0.0045
5.7,0.00455
5.8,0.0048
5.9,0.0047
6.0,0.00515
6.1,0.0049
6.2,0.005
6.3,0.0051
6.4,0.0054
6.5,0.0051
6.6,0.00505
6.7,0.00525
6.8,0.0054
6.9,0.0054
7.0,0.0056
7.1,0.00515
7.2,0.00535
7.3,0.00555
7.4,0.00575
7.5,0.00585
7.6,0.0056
7.7,0.00585
7.8,0.00605
7.9,0.00555
8.0,0.00585
8.1,0.006
8.2,0.0062
8.3,0.0061
8.4,0.00615
8.5,0.00605
8.6,0.0064
8.7,0.00645
8.8,0.00625
8.9,0.0065
9.0,0.0065
9.1,0.0069
9.2,0.0069
9.3,0.00665
9.4,0.00685
9.5,0.00695
9.6,0.00705
9.7,0.007
9.8,0.0071
9.9,0.0073
10.0,0.0071
